temp,hum,pres,alt,ax,ay,az,gx,gy,gz,t
26.709999084472656,43.5703125,1026.4378662109375,19.264423370361328,-28,-64,16380,0,12,8,1275397
26.709999084472656,43.5703125,1026.4378662109375,19.264423370361328,68,-12,16468,3,5,5,1275409
26.709999084472656,43.5703125,1026.4378662109375,19.197423934936523,-108,-24,16484,3,-8,1,1275427
26.709999084472656,43.703125,1026.43310546875,19.3037166595459,76,-28,16500,-17,7,-17,1275439
26.709999084472656,43.703125,1026.43310546875,19.3037166595459,-12,40,16612,1,23,-1,1275452
26.709999084472656,43.703125,1026.43310546875,19.3037166595459,80,-100,16468,9,17,5,1275465
26.709999084472656,43.703125,1026.43310546875,19.3037166595459,56,-40,16300,5,5,1,1275477
26.709999084472656,43.703125,1026.43310546875,19.3037166595459,52,-24,16440,-18,20,28,1275490
26.709999084472656,43.703125,1026.43310546875,19.3037166595459,60,24,16464,-4,1,-17,1275503
26.709999084472656,43.703125,1026.43310546875,19.3037166595459,76,8,16436,11,8,-18,1275515
26.709999084472656,43.6591796875,1026.440673828125,19.24125099182129,44,-100,16384,23,-4,-2,1275528
26.709999084472656,43.6591796875,1026.440673828125,19.24125099182129,-68,76,16384,-3,5,-7,1275541
26.709999084472656,43.6591796875,1026.440673828125,19.24125099182129,-48,8,16324,-8,-1,20,1275553
26.709999084472656,43.6591796875,1026.440673828125,19.24125099182129,-44,-40,16452,27,0,-13,1275566
26.709999084472656,43.6591796875,1026.440673828125,19.24125099182129,44,44,16392,-16,-10,3,1275579
26.709999084472656,43.6591796875,1026.440673828125,19.24125099182129,32,-56,16264,12,-2,4,1275591
26.709999084472656,43.6591796875,1026.440673828125,19.24125099182129,16,-32,16340,12,-6,8,1275604
26.709999084472656,43.6591796875,1026.440673828125,19.24125099182129,56,-20,16428,-4,26,13,1275617
26.709999084472656,43.703125,1026.4560546875,19.115312576293945,64,-28,16228,-10,5,-9,1275630
26.709999084472656,43.703125,1026.4560546875,19.115312576293945,100,-148,16296,3,-2,-6,1275642
26.709999084472656,43.703125,1026.4560546875,19.115312576293945,0,8,16356,-3,-7,9,1275655
26.709999084472656,43.703125,1026.4560546875,19.115312576293945,24,52,16460,11,-8,40,1275668
26.709999084472656,43.703125,1026.4560546875,19.115312576293945,28,0,16376,-4,-15,-8,1275680
26.709999084472656,43.703125,1026.4560546875,19.115312576293945,68,4,16444,-7,7,21,1275693
26.709999084472656,43.703125,1026.4560546875,19.115312576293945,168,-76,16492,-10,19,6,1275715
26.700000762939453,43.736328125,1026.4501953125,19.163169860839844,44,-36,16368,11,1,-35,1275727
26.700000762939453,43.736328125,1026.4501953125,19.163169860839844,-24,24,16380,8,35,3,1275740
26.700000762939453,43.736328125,1026.4501953125,19.163169860839844,0,-132,16400,13,14,-7,1275753
26.700000762939453,43.736328125,1026.4501953125,19.163169860839844,-96,-76,16428,-7,11,-24,1275765
26.700000762939453,43.736328125,1026.4501953125,19.163169860839844,-20,-52,16392,8,12,-9,1275778
26.700000762939453,43.736328125,1026.4501953125,19.163169860839844,12,4,16372,-6,-6,10,1275799
26.700000762939453,43.736328125,1026.4501953125,19.163169860839844,-56,-20,16300,10,13,4,1275812
26.700000762939453,43.625,1026.4632568359375,19.055871963500977,24,-60,16460,-14,6,30,1275825
26.700000762939453,43.625,1026.4632568359375,19.055871963500977,-64,-16,16388,-4,-8,17,1275837
26.700000762939453,43.625,1026.4632568359375,19.055871963500977,32,-36,16420,25,-2,-6,1275850
26.700000762939453,43.625,1026.4632568359375,19.055871963500977,104,28,16536,6,-2,33,1275862
26.700000762939453,43.625,1026.4632568359375,19.055871963500977,40,-84,16328,-7,14,-5,1275875
26.700000762939453,43.625,1026.4632568359375,19.055871963500977,76,-80,16432,6,0,-19,1275888
26.700000762939453,43.625,1026.4632568359375,19.055871963500977,8,-8,16500,-1,4,-7,1275900
26.700000762939453,43.625,1026.4632568359375,19.055871963500977,40,32,16412,4,5,7,1275913
26.700000762939453,43.501953125,1026.4517822265625,19.15007209777832,-8,-176,16464,2,4,4,1275926
26.700000762939453,43.501953125,1026.4517822265625,19.15007209777832,-64,124,16476,8,-9,20,1275938
26.700000762939453,43.501953125,1026.4517822265625,19.15007209777832,24,16,16456,-5,11,1,1275951
26.700000762939453,43.501953125,1026.4517822265625,19.15007209777832,4,24,16460,-4,8,-16,1275964
26.700000762939453,43.501953125,1026.4517822265625,19.15007209777832,-12,-28,16340,5,-18,11,1275976
26.700000762939453,43.501953125,1026.4517822265625,19.15007209777832,-64,-20,16464,8,-1,2,1275989
26.700000762939453,43.501953125,1026.4517822265625,19.15007209777832,92,-48,16208,-8,1,16,1276002
26.700000762939453,43.6806640625,1026.4583740234375,19.09617042541504,128,0,16432,-3,-6,9,1276014
26.700000762939453,43.6806640625,1026.4583740234375,19.09617042541504,44,-28,16420,0,-2,12,1276027
26.700000762939453,43.6806640625,1026.4583740234375,19.09617042541504,-116,-36,16460,-3,4,-10,1276040
26.700000762939453,43.6806640625,1026.4583740234375,19.09617042541504,-40,36,16404,-8,-10,1,1276052
26.700000762939453,43.6806640625,1026.4583740234375,19.09617042541504,48,-104,16472,4,4,8,1276065
26.700000762939453,43.6806640625,1026.4583740234375,19.09617042541504,40,20,16476,-1,-6,-5,1276078
26.700000762939453,43.6806640625,1026.4583740234375,19.09617042541504,120,96,16544,11,-21,-10,1276090
26.700000762939453,43.6806640625,1026.4583740234375,19.09617042541504,52,-36,16372,-9,12,4,1276103
26.709999084472656,43.625,1026.444580078125,19.209514617919922,168,-40,16264,6,10,-10,1276116
26.709999084472656,43.625,1026.444580078125,19.209514617919922,-72,-72,16460,-6,7,-1,1276128
26.709999084472656,43.625,1026.444580078125,19.209514617919922,-8,-108,16156,17,12,6,1276141
26.709999084472656,43.625,1026.444580078125,19.209514617919922,52,104,16440,9,-15,3,1276154
26.709999084472656,43.625,1026.444580078125,19.209514617919922,-8,-16,16356,6,-4,4,1276166
26.709999084472656,43.625,1026.444580078125,19.209514617919922,172,16,16408,-4,0,-5,1276179
26.709999084472656,43.625,1026.444580078125,19.209514617919922,72,-92,16456,-5,-7,-4,1276192
26.709999084472656,43.625,1026.444580078125,19.209514617919922,-20,-24,16528,6,7,10,1276204
26.709999084472656,43.6357421875,1026.4610595703125,19.074005126953125,8,28,16436,3,-35,0,1276217
26.709999084472656,43.6357421875,1026.4610595703125,19.074005126953125,16,16,16260,-4,8,-11,1276230
26.709999084472656,43.6357421875,1026.4610595703125,19.074005126953125,64,28,16548,12,-17,8,1276242
26.709999084472656,43.6357421875,1026.4610595703125,19.074005126953125,44,-136,16488,-3,-14,1,1276255
26.709999084472656,43.6357421875,1026.4610595703125,19.074005126953125,-12,-36,16460,1,11,21,1276268
26.709999084472656,43.6357421875,1026.4610595703125,19.074005126953125,48,92,16424,24,3,22,1276280
26.709999084472656,43.6357421875,1026.4610595703125,19.074005126953125,36,84,16472,2,-11,-13,1276293
26.709999084472656,43.6357421875,1026.4610595703125,19.074005126953125,48,-52,16420,-4,-2,11,1276306
26.709999084472656,43.5693359375,1026.4610595703125,19.074005126953125,48,60,16224,11,-11,-13,1276318
26.709999084472656,43.5693359375,1026.4610595703125,19.074005126953125,108,0,16300,9,17,16,1276331
26.709999084472656,43.5693359375,1026.4610595703125,19.074005126953125,20,28,16428,-4,-10,-27,1276344
26.709999084472656,43.5693359375,1026.4610595703125,19.074005126953125,152,4,16392,4,-2,8,1276356
26.709999084472656,43.5693359375,1026.4610595703125,19.074005126953125,-56,-56,16320,6,-6,1,1276369
26.709999084472656,43.5693359375,1026.4610595703125,19.074005126953125,40,56,16308,-4,-18,14,1276382
26.709999084472656,43.5693359375,1026.4610595703125,19.074005126953125,36,-132,16516,2,-12,12,1276394
26.700000762939453,43.6025390625,1026.44189453125,19.231176376342773,48,-88,16340,31,34,-12,1276407
